id_dato,fecha,temperatura_maxima,temperatura_minima,temperatura_media,presion,precipitacion,humedad_relativa,vientomax_intensidad,vientomed_intensidad
1,1/1/2004,25.4,15.6,21.2,1016.5,0,57,4.6,2.2
2,1/2/2004,29.5,17.6,23.7,1013.4,0,54,5.1,2.3
3,1/3/2004,30.6,21,26.6,1009.2,0.2,44,5.1,4.4
4,1/4/2004,29.7,22.5,25.4,1006.7,0,61,6.7,3
5,1/5/2004,32.6,21,27,1006.7,29,63,4.1,2.3
6,1/6/2004,32,22,26.1,1007.2,0.4,73,5.1,3.1
7,1/7/2004,30.4,23,25.8,1007.9,0.8,70,5.1,2.4
8,1/8/2004,30,21.8,25.3,1007.8,0,76,6.2,2.8
9,1/9/2004,31.2,23.5,27.1,1005.9,3,71,4.6,2.7
10,1/10/2004,28.5,16.8,22.7,1008.1,7,77,10.3,4.4
11,1/11/2004,29.4,13.2,21.4,1011.3,0,62,5.1,3.1
12,1/12/2004,28.8,16.5,24.1,1012.9,0,54,5.1,2.1
13,1/13/2004,29,21,24.8,1009.1,0,65,4.1,2.3
14,1/14/2004,34.2,18.6,27.4,1004.7,0,57,14.4,1.5
15,1/15/2004,30,15.3,20.5,1011.5,0,52,7.2,4.1
16,1/16/2004,26.1,15.5,21.3,1013.7,0,62,4.1,2.8
17,1/17/2004,28.1,20.4,23.6,1013.1,0,67,5.1,3.6
18,1/18/2004,29.7,21,24.8,1010.7,0,69,5.1,2.7
19,1/19/2004,28.8,21.5,24.6,1010,0,75,7.2,3.7
20,1/20/2004,30.1,21.9,25.2,1007.1,0,72,5.7,3.2
21,1/21/2004,31,21.1,25.7,1008.8,28,74,5.1,2.3
22,1/22/2004,29.4,16,22.8,1012.6,0,69,4.6,2.4
23,1/23/2004,28.6,17.8,23.2,1011.3,0,74,3.6,2.1
24,1/24/2004,30,19.6,25,1008.6,0,66,5.1,1.8
25,1/25/2004,34.5,19.3,27.6,1006.9,0,59,5.7,1.3
26,1/26/2004,36.9,20.9,29.3,1007.4,0,51,3.1,1.2
27,1/27/2004,35.3,24,29.9,1009.8,0,48,4.6,2.3
28,1/28/2004,30.9,23,26.6,1009.6,0,70,4.6,3.2
29,1/29/2004,33.9,21.7,28.1,1006.8,0,68,5.1,1.4
30,1/30/2004,34.9,22.2,27.5,1007.6,119,65,12.9,2.1
31,1/31/2004,23.8,18.6,20.5,1009.6,81,95,13.4,4.5
32,2/1/2004,27.9,19.1,23.3,1008,0.8,84,4.1,2.2
33,2/2/2004,28.3,20.2,23.8,1010.3,4,80,5.1,3
34,2/3/2004,29,21.8,25.1,1008,0,69,4.6,2.3
35,2/4/2004,28.1,18.2,23.5,1010.9,0,63,5.7,3.1
36,2/5/2004,27.4,16.2,21.9,1016.5,0,63,6.2,3.1
37,2/6/2004,28.6,15.8,22.5,1017.5,0,62,4.6,2.3
38,2/7/2004,27.5,18.3,22.8,1016.5,0,71,5.1,3.6
39,2/8/2004,28,20.9,24,1016.8,0,68,20.6,5.1
40,2/9/2004,30.4,21.8,25.1,1015.1,0,64,12.3,3.9
41,2/10/2004,32,23.1,26.9,1012.1,0,64,4.1,2.2
42,2/11/2004,33.2,24.2,28,1009.7,0,55,4.6,2.7
43,2/12/2004,33.9,24.3,28,1008.2,24,59,4.1,3.3
44,2/13/2004,26.7,20.2,21.5,1009.7,0,83,5.1,2.8
45,2/14/2004,27,14,20.4,1009.6,0,57,5.1,2.8
46,2/15/2004,28.5,16.2,22.2,1008.1,0,62,2.6,1.7
47,2/16/2004,27.2,19.2,21,1005.6,3,81,3.6,2.2
48,2/17/2004,26.5,15.9,20.9,1007,0,62,7.2,3.3
49,2/18/2004,26.5,14.7,20.6,1013.2,0,65,4.1,1.9
50,2/19/2004,26.4,17.5,21.4,1014.3,0,52,5.1,2.6
51,2/20/2004,25.9,13,19.5,1014.9,0,60,4.6,3
52,2/21/2004,24.7,13.7,19,1017.3,0,63,5.7,2.8
53,2/22/2004,25.8,13.6,19.6,1020.1,0,69,4.6,1.4
54,2/23/2004,25.5,14.5,20.4,1018,0,74,3.6,1.8
55,2/24/2004,27,19.2,22.4,1013.5,0,71,3.6,2.3
56,2/25/2004,29.6,20.2,24.3,1011.5,0,65,5.1,3
57,2/26/2004,31.5,21.2,25.7,1011,0,64,4.6,1.9
58,2/27/2004,28.9,20.8,23.3,1010.5,0,67,5.1,2.1
59,2/28/2004,25.3,15.4,20.3,1009.8,0,65,5.1,3.1
60,2/29/2004,26.5,19.7,22.4,1010.8,0,64,5.1,3.5
61,3/1/2004,29.4,20,24.4,1007.1,20,62,7.7,4.4
62,3/2/2004,26.8,16.6,21.7,1003.2,0,64,13.4,3.9
63,3/3/2004,30.2,15.1,21.6,1011,0,52,4.6,1.9
64,3/4/2004,29.6,16,23.1,1013.6,0,61,4.1,2.3
65,3/5/2004,29.5,19.2,23.8,1013,0,62,6.7,2.3
66,3/6/2004,30.8,20.4,24.4,1009.7,3,75,5.1,1.3
67,3/7/2004,26,18.2,21.1,1011.4,0.5,85,4.1,2.3
68,3/8/2004,26.6,15.2,21,1013.4,0,71,4.1,2.3
69,3/9/2004,28.6,16,22.1,1014.6,0,61,3.6,1.3
70,3/10/2004,29.3,16.1,22.2,1018.8,0,63,6.2,2.3
71,3/11/2004,23.3,14.5,18.8,1018.8,0,64,6.2,2.7
72,3/12/2004,24.4,18.7,21.1,1014.7,0,68,6.2,3.9
73,3/13/2004,27.1,19,22.4,1012.3,0,67,6.7,3.6
74,3/14/2004,27,19.6,22.4,1012.2,0,76,5.1,3.1
75,3/15/2004,27.6,18,22.9,1013,0,78,4.1,2.6
76,3/16/2004,27.4,20.6,23.4,1010.8,0,77,5.1,3.3
77,3/17/2004,29,20.6,24,1010.4,3,73,6.2,3.1
78,3/18/2004,25.6,20.1,22.2,1011.2,0.6,80,3.6,2.1
79,3/19/2004,27.7,16.7,21.4,1012.4,0,78,3.1,1.2
80,3/20/2004,26,19.2,22.3,1013.8,0,68,4.1,2.6
81,3/21/2004,26,15.6,21.6,1015,0,64,4.6,1.9
82,3/22/2004,28.8,18.2,23.4,1014.8,0,60,5.1,1.9
83,3/23/2004,29,18.6,23.2,1013.8,0,62,3.6,1.8
84,3/24/2004,31.6,17.9,24.2,1010.9,0,68,5.1,2.2
