id_dato,fecha,temperatura_maxima,temperatura_minima,temperatura_media,presion,precipitacion,humedad_relativa,vientomax_intensidad,vientomed_intensidad,clima,temperatura,humedad
1,1/1/2004,0.5502793296,0.5457413249,0.5967213115,0.5199063232,0,0.3943661972,0.1178707224,0.112244898,0.9011270492,0.9011270492,0.5849471831
2,1/2/2004,0.6648044693,0.6088328076,0.6786885246,0.4473067916,0,0.3521126761,0.1368821293,0.1173469388,0.02715163937,0.02715163937,0.5189260564
3,1/3/2004,0.6955307263,0.7160883281,0.7737704918,0.3489461358,0.001257861635,0.2112676056,0.1368821293,0.2244897959,0.3242827869,0.3242827869,0.3201024327
4,1/4/2004,0.6703910615,0.7634069401,0.7344262295,0.2903981265,0,0.4507042254,0.1977186312,0.1530612245,0.2013319672,0.2013319672,0.6729753522
5,1/5/2004,0.751396648,0.7160883281,0.7868852459,0.2903981265,0.1823899371,0.4788732394,0.09885931559,0.1173469388,0.3652663934,0.3652663934,0.7169894366
6,1/6/2004,0.7346368715,0.7476340694,0.7573770492,0.3021077283,0.00251572327,0.6197183099,0.1368821293,0.1581632653,0.2730532788,0.2730532788,0.9370598592
7,1/7/2004,0.6899441341,0.7791798107,0.7475409836,0.318501171,0.005031446541,0.5774647887,0.1368821293,0.1224489796,0.2423155737,0.2423155737,0.8710387323
8,1/8/2004,0.6787709497,0.7413249211,0.731147541,0.3161592506,0,0.661971831,0.1787072243,0.1428571429,0.1910860656,0.1910860656,1.003080986
9,1/9/2004,0.7122905028,0.7949526814,0.7901639344,0.2716627635,0.01886792453,0.5915492958,0.1178707224,0.137755102,0.375512295,0.375512295,0.8930457747
10,1/10/2004,0.6368715084,0.5835962145,0.6459016393,0.3231850117,0.04402515723,0.676056338,0.3346007605,0.2244897959,0.9779713114,0.9779713114,0.01892605625
11,1/11/2004,0.6620111732,0.4700315457,0.6032786885,0.3981264637,0,0.4647887324,0.1368821293,0.1581632653,0.9113729508,0.9113729508,0.6949823944
12,1/12/2004,0.6452513966,0.5741324921,0.6918032787,0.4355971897,0,0.3521126761,0.1368821293,0.1071428571,0.06813524594,0.06813524594,0.5189260564
13,1/13/2004,0.6508379888,0.7160883281,0.7147540984,0.3466042155,0,0.5070422535,0.09885931559,0.1173469388,0.1398565575,0.1398565575,0.7610035211
14,1/14/2004,0.7960893855,0.6403785489,0.8,0.243559719,0,0.3943661972,0.4904942966,0.07653061224,0.40625,0.40625,0.5849471831
15,1/15/2004,0.6787709497,0.5362776025,0.5737704918,0.4028103044,0,0.323943662,0.216730038,0.2091836735,0.8652663934,0.8652663934,0.4908237303
16,1/16/2004,0.5698324022,0.5425867508,0.6,0.4543325527,0,0.4647887324,0.09885931559,0.1428571429,0.90625,0.90625,0.6949823944
17,1/17/2004,0.625698324,0.6971608833,0.6754098361,0.4402810304,0,0.5352112676,0.1368821293,0.1836734694,0.01690573781,0.01690573781,0.8050176056
